O2 Optode #578																					
Record Time	Record Number	Sensor Status	O2Concentration [uM]	Status	AirSaturation [%]	Status	Temperature [Deg.C]	Status	CalPhase [Deg]	Status	TCPhase [Deg]	Status	C1RPh [Deg]	Status	C2RPh [Deg]	Status	C1Amp [mV]	Status	C2Amp [mV]	Status	RawTemp [mV]	Status	
2020-08-12 10.03.19	104	(0) OK	2.345351E+02		7.399911E+01		1.470740E+01		3.433196E+01		3.433196E+01		4.147261E+01		7.140648E+00		7.994171E+02		7.536689E+02		2.996471E+02		
2020-08-12 10.04.19	105	(0) OK	2.328804E+02		7.347503E+01		1.470615E+01		3.441643E+01		3.441643E+01		4.155678E+01		7.140350E+00		8.016482E+02		7.535693E+02		2.996886E+02		
2020-08-12 10.05.19	106	(0) OK	2.333151E+02		7.358247E+01		1.468760E+01		3.440267E+01		3.440267E+01		4.154243E+01		7.139763E+00		8.013655E+02		7.533959E+02		3.003016E+02		
2020-08-12 10.06.19	107	(0) OK	2.359407E+02		7.434852E+01		1.464927E+01		3.428736E+01		3.428736E+01		4.142825E+01		7.140892E+00		7.976168E+02		7.534174E+02		3.015689E+02		
2020-08-12 10.07.19	108	(0) OK	2.420982E+02		7.623167E+01		1.461481E+01		3.399841E+01		3.399841E+01		4.113878E+01		7.140366E+00		7.890112E+02		7.533123E+02		3.027083E+02		
2020-08-12 10.08.19	109	(0) OK	2.446911E+02		7.707439E+01		1.463046E+01		3.386588E+01		3.386588E+01		4.100801E+01		7.142136E+00		7.848046E+02		7.534153E+02		3.021910E+02		
2020-08-12 10.09.19	110	(0) OK	2.414082E+02		7.610471E+01		1.466938E+01		3.400763E+01		3.400763E+01		4.115002E+01		7.142395E+00		7.886662E+02		7.535180E+02		3.009041E+02		
2020-08-12 10.10.19	111	(0) OK	2.400387E+02		7.568085E+01		1.467416E+01		3.407262E+01		3.407262E+01		4.121024E+01		7.137611E+00		7.911744E+02		7.535189E+02		3.007462E+02		
2020-08-12 10.11.19	112	(0) OK	2.392147E+02		7.536481E+01		1.463986E+01		3.412862E+01		3.412862E+01		4.126910E+01		7.140488E+00		7.926117E+02		7.536676E+02		3.018802E+02		
2020-08-12 10.12.19	113	(0) OK	2.418951E+02		7.618736E+01		1.462666E+01		3.400300E+01		3.400300E+01		4.113821E+01		7.135216E+00		7.891918E+02		7.535029E+02		3.023166E+02		
2020-08-12 10.13.19	114	(0) OK	2.432055E+02		7.661710E+01		1.463684E+01		3.393475E+01		3.393475E+01		4.107481E+01		7.140068E+00		7.869045E+02		7.535411E+02		3.019798E+02		
2020-08-12 10.14.19	115	(0) OK	2.425831E+02		7.648055E+01		1.467264E+01		3.394893E+01		3.394893E+01		4.108965E+01		7.140717E+00		7.873450E+02		7.535563E+02		3.007963E+02		
2020-08-12 10.15.19	116	(0) OK	2.405826E+02		7.587888E+01		1.469024E+01		3.403870E+01		3.403870E+01		4.117618E+01		7.137474E+00		7.896991E+02		7.536163E+02		3.002146E+02		
2020-08-12 10.16.19	117	(0) OK	2.403272E+02		7.580233E+01		1.469268E+01		3.405015E+01		3.405015E+01		4.118428E+01		7.134132E+00		7.900160E+02		7.536132E+02		3.001339E+02		
2020-08-12 10.17.19	118	(0) OK	2.399732E+02		7.569122E+01		1.469303E+01		3.406738E+01		3.406738E+01		4.120596E+01		7.138580E+00		7.933134E+02		7.537297E+02		3.001222E+02		
2020-08-12 10.18.19	119	(0) OK	2.420880E+02		7.636931E+01		1.469966E+01		3.396092E+01		3.396092E+01		4.110071E+01		7.139786E+00		7.904071E+02		7.537522E+02		2.999030E+02		
2020-08-12 10.19.19	120	(0) OK	2.439249E+02		7.692669E+01		1.468646E+01		3.387778E+01		3.387778E+01		4.101900E+01		7.141220E+00		7.878613E+02		7.537076E+02		3.003395E+02		
2020-08-12 10.20.19	121	(0) OK	2.456441E+02		7.742916E+01		1.466287E+01		3.380566E+01		3.380566E+01		4.094530E+01		7.139641E+00		7.851489E+02		7.535490E+02		3.011194E+02		
2020-08-12 10.21.19	122	(0) OK	2.466373E+02		7.777950E+01		1.468492E+01		3.374838E+01		3.374838E+01		4.088850E+01		7.140121E+00		7.835919E+02		7.535832E+02		3.003904E+02		
2020-08-12 10.22.19	123	(0) OK	2.478215E+02		7.812918E+01		1.467093E+01		3.369835E+01		3.369835E+01		4.083710E+01		7.138748E+00		7.820324E+02		7.534716E+02		3.008531E+02		
2020-08-12 10.23.19	124	(0) OK	2.479174E+02		7.814529E+01		1.466263E+01		3.369750E+01		3.369750E+01		4.084102E+01		7.143517E+00		7.821995E+02		7.534894E+02		3.011273E+02		
